subset_name,rank_in_subset,feature,n_features_in_subset
selected_positive_greedy,,,0
all_sig_positive,1.0,BGNf_z,10
all_sig_positive,2.0,BGNt_z,10
all_sig_positive,3.0,ECU_z,10
all_sig_positive,4.0,LEQt_z,10
all_sig_positive,5.0,ACTtMean_z,10
all_sig_positive,6.0,ENRf_z,10
all_sig_positive,7.0,LEQf_z,10
all_sig_positive,8.0,ECV_z,10
all_sig_positive,9.0,EAS_z,10
all_sig_positive,10.0,MFC_z,10
top5_sig_positive_effect,1.0,BGNf_z,5
top5_sig_positive_effect,2.0,BGNt_z,5
top5_sig_positive_effect,3.0,ECU_z,5
top5_sig_positive_effect,4.0,LEQt_z,5
top5_sig_positive_effect,5.0,ACTtMean_z,5
top10_sig_positive_effect,1.0,BGNf_z,10
top10_sig_positive_effect,2.0,BGNt_z,10
top10_sig_positive_effect,3.0,ECU_z,10
top10_sig_positive_effect,4.0,LEQt_z,10
top10_sig_positive_effect,5.0,ACTtMean_z,10
top10_sig_positive_effect,6.0,ENRf_z,10
top10_sig_positive_effect,7.0,LEQf_z,10
top10_sig_positive_effect,8.0,ECV_z,10
top10_sig_positive_effect,9.0,EAS_z,10
top10_sig_positive_effect,10.0,MFC_z,10
all_sig_negative,1.0,HFC_z,11
all_sig_negative,2.0,nROI_z,11
all_sig_negative,3.0,NBPEAKS_z,11
all_sig_negative,4.0,EVNspCount_z,11
all_sig_negative,5.0,EVNspMean_z,11
all_sig_negative,6.0,H_gamma_z,11
all_sig_negative,7.0,ZCR_z,11
all_sig_negative,8.0,Hf_z,11
all_sig_negative,9.0,aROI_z,11
all_sig_negative,10.0,ACTtFraction_z,11
all_sig_negative,11.0,EVNspFract_z,11
top5_sig_negative_effect,1.0,HFC_z,5
top5_sig_negative_effect,2.0,nROI_z,5
top5_sig_negative_effect,3.0,NBPEAKS_z,5
top5_sig_negative_effect,4.0,EVNspCount_z,5
top5_sig_negative_effect,5.0,EVNspMean_z,5
top10_sig_negative_effect,1.0,HFC_z,10
top10_sig_negative_effect,2.0,nROI_z,10
top10_sig_negative_effect,3.0,NBPEAKS_z,10
top10_sig_negative_effect,4.0,EVNspCount_z,10
top10_sig_negative_effect,5.0,EVNspMean_z,10
top10_sig_negative_effect,6.0,H_gamma_z,10
top10_sig_negative_effect,7.0,ZCR_z,10
top10_sig_negative_effect,8.0,Hf_z,10
top10_sig_negative_effect,9.0,aROI_z,10
top10_sig_negative_effect,10.0,ACTtFraction_z,10
neither_sig_positive_nor_negative,1.0,ACI_z,39
neither_sig_positive_nor_negative,2.0,TFSD_z,39
neither_sig_positive_nor_negative,3.0,SNRf_z,39
neither_sig_positive_nor_negative,4.0,Ht_z,39
neither_sig_positive_nor_negative,5.0,H_Renyi_z,39
neither_sig_positive_nor_negative,6.0,ACTspFract_z,39
neither_sig_positive_nor_negative,7.0,VARf_z,39
neither_sig_positive_nor_negative,8.0,EVNtFraction_z,39
neither_sig_positive_nor_negative,9.0,H_GiniSimpson_z,39
neither_sig_positive_nor_negative,10.0,MEANf_z,39
neither_sig_positive_nor_negative,11.0,AEI_z,39
neither_sig_positive_nor_negative,12.0,ACTspMean_z,39
neither_sig_positive_nor_negative,13.0,VARt_z,39
neither_sig_positive_nor_negative,14.0,ACTspCount_z,39
neither_sig_positive_nor_negative,15.0,LFC_z,39
neither_sig_positive_nor_negative,16.0,NDSI_z,39
neither_sig_positive_nor_negative,17.0,EPS_KURT_z,39
neither_sig_positive_nor_negative,18.0,AGI_z,39
neither_sig_positive_nor_negative,19.0,MEANt_z,39
neither_sig_positive_nor_negative,20.0,BI_z,39
neither_sig_positive_nor_negative,21.0,SKEWf_z,39
neither_sig_positive_nor_negative,22.0,ROU_z,39
neither_sig_positive_nor_negative,23.0,ACTtCount_z,39
neither_sig_positive_nor_negative,24.0,BioEnergy_z,39
neither_sig_positive_nor_negative,25.0,H_pairedShannon_z,39
neither_sig_positive_nor_negative,26.0,EPS_SKEW_z,39
neither_sig_positive_nor_negative,27.0,KURTt_z,39
neither_sig_positive_nor_negative,28.0,EVNtMean_z,39
neither_sig_positive_nor_negative,29.0,SNRt_z,39
neither_sig_positive_nor_negative,30.0,AnthroEnergy_z,39
neither_sig_positive_nor_negative,31.0,ADI_z,39
neither_sig_positive_nor_negative,32.0,MED_z,39
neither_sig_positive_nor_negative,33.0,EPS_z,39
neither_sig_positive_nor_negative,34.0,H_Havrda_z,39
neither_sig_positive_nor_negative,35.0,KURTf_z,39
neither_sig_positive_nor_negative,36.0,rBA_z,39
neither_sig_positive_nor_negative,37.0,RAOQ_z,39
neither_sig_positive_nor_negative,38.0,EVNtCount_z,39
neither_sig_positive_nor_negative,39.0,SKEWt_z,39
